cod,NOMBRE,DEPTO,MPIO,LATITUD,LONGITUD,FECHA_INST,FECHA_SUSP
12020040,NUEVA ANTIOQUIA ,ANTIOQUIA,TURBO,8.05,-76.55,15/02/1987,15/01/1996
12020170,PLAYONA LA [12020170],ANTIOQUIA,TURBO,8.1833333333,-76.65,15/08/1984,15/10/1992
12025010,APTO GONZALO ,ANTIOQUIA,TURBO,8.1166666667,-76.7333333333,15/07/1931,15/02/1984
12025020,CARIBIA [12025020],ANTIOQUIA,NECOCLÍ,8.5,-76.6833333333,15/04/1972,15/09/1983
12025030,MELLITO EL   [12025030],ANTIOQUIA,NECOCLÍ,8.5426666667,-76.6733611111,15/09/1983,
12025040,TURBO [12025040],ANTIOQUIA,TURBO,8.0918055556,-76.7163333333,15/04/1984,28/08/2014
12027010,PUEBLO BELLO   [12027010],ANTIOQUIA,TURBO,8.2040555556,-76.5246666667,15/08/1977,
12027030,TRES EL [12027030],ANTIOQUIA,TURBO,8.0650277778,-76.65775,15/02/1977,10/05/2011
12027040,CURRULAO [12027040],ANTIOQUIA,TURBO,7.9944166667,-76.63175,15/09/1977,10/05/2011
12027050,PUEBLO NUEVO   ,ANTIOQUIA,NECOCLÍ,8.4150555556,-76.6293888889,15/08/1978,
12027060,DOS EL [12027060],ANTIOQUIA,TURBO,8.1265,-76.6938333333,15/08/1984,18/08/2011
12037050,SAN PEDRO [12037050],ANTIOQUIA,SAN PEDRO DE URABÁ,8.2778055556,-76.3913055556,15/06/1980,20/10/2010
13015010,URRA 2 [13015010],CÓRDOBA,TIERRALTA,7.7333333333,-76.2,15/11/1982,15/12/1988
13017030,SALTO VIEJO [13017030],CÓRDOBA,TIERRALTA,7.7833333333,-76.2333333333,15/03/1974,15/12/1988
23020090,MARULANDA    [23020090],CALDAS,MARULANDA,5.2781666667,-75.2671388889,15/08/1974,
23050420,ARGELIA ANTIOQUIA   ,ANTIOQUIA,ARGELIA,5.7311388889,-75.1385277778,23/10/2007,
23055070,ARGELIA    [23055070],ANTIOQUIA,ARGELIA,5.7312222222,-75.1386388889,15/07/1977,
23070020,RIO CLARO [23070020],ANTIOQUIA,SONSÓN,5.8555277778,-74.8483611111,01/09/2009,
23075010,RIO CLARO [23075010],ANTIOQUIA,SONSÓN,5.8555277778,-74.8483611111,15/11/1985,17/02/2010
23080200,ARGELIA [23080200],ANTIOQUIA,ARGELIA,5.7312222222,-75.1386388889,15/01/1937,15/12/1937
23080390,STO DOMINGO   [23080390],ANTIOQUIA,SANTO DOMINGO,6.4683055556,-75.1638055556,15/04/1986,
23080400,SAN CARLOS [23080400],ANTIOQUIA,SAN CARLOS,6.2,-74.9833333333,15/08/1963,15/04/1965
23080490,SAN CARLOS [23080490],ANTIOQUIA,SAN CARLOS,6.2,-74.9833333333,15/02/1968,15/04/1992
